MGRS_TILE,count,date,row_id,mean,median,p25,p75,stdDev
31UFT,0,2026-01-01,0,,,,,
31UFT,0,2026-01-01,1,,,,,
31UFT,0,2026-01-01,2,,,,,
31UFT,0,2026-01-01,3,,,,,
31UFT,0,2026-01-01,4,,,,,
31UFT,0,2026-01-01,5,,,,,
31UFT,0,2026-01-01,6,,,,,
31UFT,0,2026-01-01,0,,,,,
31UFT,0,2026-01-01,1,,,,,
31UFT,0,2026-01-01,2,,,,,
31UFT,0,2026-01-01,3,,,,,
31UFT,0,2026-01-01,4,,,,,
31UFT,0,2026-01-01,5,,,,,
31UFT,0,2026-01-01,6,,,,,
31UFT,190,2026-01-04,0,-0.2208269834182066,-0.22128294848855284,-0.23450243457765318,-0.20665341638625562,0.02578350868986285
31UFT,9,2026-01-04,1,-0.23777528292390582,-0.258064502284487,-0.2651933829582479,-0.19473685113470626,0.08075027406263764
31UFT,34,2026-01-04,2,-0.12491923358297323,-0.11072960017466975,-0.18088100008717947,-0.0854902106530387,0.06478488020043267
31UFT,20,2026-01-04,3,-0.13832338973497743,-0.14177693948185086,-0.19223300844461824,-0.10366826118395843,0.05831171486609986
31UFT,16,2026-01-04,4,-0.044118769572634504,-0.08732394986955713,-0.09906542563669563,0.04847803832177142,0.07466101855849373
31UFT,13,2026-01-04,5,-0.06883468245425367,-0.0782865645229097,-0.13299490803865469,-0.04742267708657256,0.10342583970181406
31UFT,35,2026-01-04,6,-0.16779726321630423,-0.1855894873284821,-0.2220858974224191,-0.12262520377708415,0.06718111233035388
31UFT,0,2026-01-06,0,,,,,
31UFT,0,2026-01-06,1,,,,,
31UFT,0,2026-01-06,2,,,,,
31UFT,0,2026-01-06,3,,,,,
31UFT,0,2026-01-06,4,,,,,
31UFT,0,2026-01-06,5,,,,,
31UFT,0,2026-01-06,6,,,,,
31UFT,0,2026-01-09,0,,,,,
31UFT,0,2026-01-09,1,,,,,
31UFT,0,2026-01-09,2,,,,,
31UFT,0,2026-01-09,3,,,,,
31UFT,0,2026-01-09,4,,,,,
31UFT,0,2026-01-09,5,,,,,
31UFT,0,2026-01-09,6,,,,,
31UFT,0,2026-01-11,0,,,,,
31UFT,0,2026-01-11,1,,,,,
31UFT,0,2026-01-11,2,,,,,
31UFT,0,2026-01-11,3,,,,,
31UFT,0,2026-01-11,4,,,,,
31UFT,0,2026-01-11,5,,,,,
31UFT,0,2026-01-11,6,,,,,
31UFT,0,2026-01-11,0,,,,,
31UFT,0,2026-01-11,1,,,,,
31UFT,0,2026-01-11,2,,,,,
31UFT,0,2026-01-11,3,,,,,
31UFT,0,2026-01-11,4,,,,,
31UFT,0,2026-01-11,5,,,,,
31UFT,0,2026-01-11,6,,,,,
31UFT,162,2026-01-14,0,0.7367043644564721,0.7494723619176229,0.6921017272094728,0.7879063200722651,0.06389877273637837
31UFT,9,2026-01-14,1,0.041874121629346464,0.0009233766609015822,-0.02467848687286482,0.11532124154414328,0.1540827115419964
31UFT,38,2026-01-14,2,0.34263089861708657,0.3454545495595484,0.21085078278866315,0.5145631077993861,0.18112444020994856
31UFT,0,2026-01-14,3,,,,,
31UFT,16,2026-01-14,4,0.5105814820916948,0.5120120198227959,0.5025017761033942,0.572700298540015,0.0975819256669332
31UFT,0,2026-01-14,5,,,,,
31UFT,35,2026-01-14,6,0.12853678352618736,0.17874392570727424,0.04602510242859302,0.2832764516691059,0.21277533109861507
31UFT,0,2026-01-16,0,,,,,
31UFT,0,2026-01-16,1,,,,,
31UFT,0,2026-01-16,2,,,,,
31UFT,0,2026-01-16,3,,,,,
31UFT,0,2026-01-16,4,,,,,
31UFT,0,2026-01-16,5,,,,,
31UFT,0,2026-01-16,6,,,,,
31UFT,0,2026-01-19,0,,,,,
31UFT,0,2026-01-19,1,,,,,
31UFT,0,2026-01-19,2,,,,,
31UFT,0,2026-01-19,3,,,,,
31UFT,0,2026-01-19,4,,,,,
31UFT,0,2026-01-19,5,,,,,
31UFT,0,2026-01-19,6,,,,,
31UFT,0,2026-01-21,0,,,,,
31UFT,0,2026-01-21,1,,,,,
31UFT,0,2026-01-21,2,,,,,
31UFT,0,2026-01-21,3,,,,,
31UFT,0,2026-01-21,4,,,,,
31UFT,0,2026-01-21,5,,,,,
31UFT,0,2026-01-21,6,,,,,
